datastore_v3:BeginTransaction datastore_v3:RunQuery datastore_v3:Commit datastore_v3:Put datastore_v3:Get datastore_v3:RunQuery datastore_v3:Delete datastore_v3:RunQuery datastore_v3:Next datastore_v3:RunQuery datastore_v3:Next datastore_v3:RunQuery datastore_v3:Next memcache:Set memcache:Get memcache:Delete Total 
10000 11 7 24 7 10 17 18 0 126 0 1385 0 2 2 2 11617
7000 12 7 23 8 10 16 21 0 133 0 1169 7 3 2 2 8419
10000 11 5 23 7 9 17 20 0 169 0 1410 0 3 1 1 11678
7000 13 16 21 6 9 15 19 0 141 0 1307 0 2 1 2 8564
6000 10 5 32 6 9 19 20 0 136 0 2484 1 3 2 1 8743
7000 11 8 26 8 9 21 19 0 142 0 1298 0 5 1 2 8555
6000 10 6 25 8 8 20 24 0 176 0 1326 0 3 2 2 7616
8000 10 7 24 7 9 23 19 0 155 0 1372 0 3 1 2 9647
6000 10 5 40 9 9 25 35 0 128 0 1367 0 4 2 2 7643
5000 9 4 21 10 9 14 19 0 116 0 1206 1 2 1 2 6423
5000 10 6 20 8 9 17 22 0 148 0 1305 0 2 1 2 6557
6000 10 7 22 8 10 22 26 0 146 0 1416 0 2 2 3 7675
7000 11 6 23 7 8 19 21 0 145 0 1319 0 3 1 2 8566
6000 11 7 21 7 10 29 23 0 118 0 1352 9 4 2 2 7601
6000 11 11 19 7 14 28 22 0 185 0 1289 0 2 1 2 7594
5000 18 9 28 9 12 28 22 0 141 0 1305 1 3 1 2 6583
8000 9 6 48 6 8 17 46 0 134 1 1396 0 2 2 2 9684
6000 9 7 24 7 10 23 24 0 117 0 1115 0 3 1 1 7349
8000 11 7 20 9 9 17 18 1 114 0 1153 0 3 2 3 9376
8000 9 5 20 6 9 16 19 1 132 0 1339 0 1 2 2 9566
7000 10 6 20 7 9 26 18 0 140 0 2575 0 2 1 1 9828
6000 13 7 22 8 12 20 20 0 150 0 1061 0 2 1 2 7332
7000 11 6 22 6 8 14 20 0 106 0 1101 0 2 1 2 8314
6000 10 8 23 9 9 16 20 0 252 0 1426 0 2 1 2 7779
6000 10 6 23 7 11 26 21 1 109 0 1233 0 2 1 2 7459
6000 9 7 23 10 14 16 20 0 137 0 1374 0 3 2 2 7618
5000 13 7 19 6 13 33 19 0 125 0 1287 10 3 1 2 6543
8000 12 6 22 8 12 24 23 1 139 0 2555 10 3 1 1 10828
6000 15 7 23 8 9 20 22 0 134 0 1381 0 2 1 1 7625
7000 10 5 21 6 9 18 19 0 110 1 1102 1 3 2 2 8314
5000 10 8 25 6 10 20 18 0 129 0 1178 0 2 2 2 6417
8000 12 6 29 7 9 18 21 0 133 0 1315 0 2 2 2 9560
6000 11 7 21 7 9 19 18 0 149 1 1171 1 2 1 2 7429
7000 13 6 23 7 10 19 22 0 137 0 1158 0 2 2 1 8410
5000 12 6 51 7 12 19 43 0 118 0 1234 0 2 1 2 6518
7000 10 11 20 7 9 26 18 0 121 0 1307 0 2 1 2 8541
12000 12 6 31 7 10 19 23 0 142 0 2355 0 2 2 2 14622
7000 11 6 25 6 9 20 23 0 162 1 1287 0 2 1 1 8562
6000 14 7 36 9 11 17 42 0 104 0 1189 0 2 2 2 7442
9000 10 5 25 6 8 21 21 0 111 0 1190 0 2 1 2 10411
6000 11 6 38 7 9 32 42 1 162 1 1371 0 2 2 1 7691
4000 9 17 20 9 10 33 19 0 155 1 1339 0 3 2 2 5626
7000 11 16 23 8 11 27 25 0 137 0 1320 0 2 2 2 8585
4000 10 6 30 8 12 20 29 0 139 0 1557 0 3 6 3 5832
6000 9 5 39 7 9 18 38 0 151 0 1400 0 2 1 2 7696
7000 11 6 23 7 9 23 25 0 125 0 1141 0 2 1 2 8388
6000 13 6 23 7 10 23 20 1 142 0 1215 0 3 3 2 7479
5000 10 6 22 7 10 26 21 0 163 0 1498 0 3 2 3 6777
6000 16 5 22 6 9 20 20 0 132 0 1208 0 2 1 2 7447
5000 11 6 20 9 15 21 22 0 131 0 1320 0 2 1 2 6568
5000 10 5 21 6 11 16 22 1 123 0 1108 0 3 2 3 6342
7000 12 6 26 8 10 25 20 0 158 0 1410 0 2 2 2 8687
6000 11 7 22 7 9 25 20 0 124 0 1386 0 2 1 5 7620
6000 9 5 22 6 9 23 18 0 105 0 1318 0 3 2 2 7524
9000 11 6 25 9 8 15 23 1 164 0 1362 1 3 2 2 10645
8000 9 6 34 8 9 22 46 0 168 0 1324 0 2 1 1 9632
7000 10 5 20 7 9 18 20 1 117 0 2433 0 2 1 1 9648
8000 12 6 23 7 9 29 19 0 131 0 1387 0 2 1 2 9642
4000 8 5 18 8 9 17 19 0 121 0 1415 0 3 1 2 5632
7000 13 5 20 7 10 20 20 0 155 0 1158 0 2 1 2 8418
8000 13 5 23 6 9 20 19 0 141 0 1276 0 2 2 3 9525
5000 9 6 18 9 16 26 20 0 266 0 1456 1 3 2 2 6845
6000 11 8 22 7 15 19 18 0 129 0 1347 0 2 1 2 7596
8000 9 5 19 6 8 18 20 0 116 0 1193 0 3 1 1 9413
7000 10 6 26 6 13 22 22 0 138 0 1418 0 2 1 1 8679
6000 10 6 20 9 10 19 20 0 115 0 1159 0 1 2 2 7384
8000 11 6 19 15 9 20 19 0 142 0 1331 1 3 2 2 9585
6000 10 15 23 8 12 25 20 1 157 1 1244 0 2 1 1 7530
6000 11 6 23 12 9 17 19 0 145 0 1377 0 2 2 2 7636
5000 26 6 23 8 9 25 24 0 165 0 1397 0 6 3 2 6708
6000 10 6 21 9 10 20 19 0 158 1 1173 1 2 3 2 7444
7000 10 5 23 6 9 21 23 0 130 0 1361 0 2 1 1 8605
6000 10 5 33 7 16 19 22 0 142 0 1335 0 3 1 2 7596
6000 13 8 28 8 14 39 21 0 140 0 1295 0 2 1 1 7579
6000 13 7 22 7 8 17 19 0 129 1 1300 0 2 1 1 7535
7000 15 12 36 6 11 39 49 0 165 0 1299 0 2 1 2 8643
7000 11 7 28 7 14 16 20 0 104 0 1156 0 6 1 2 8375
8000 11 6 23 6 10 26 29 0 139 0 1379 0 2 1 2 9642
8000 9 7 21 7 9 18 21 1 177 0 2813 1 2 1 1 11094
6000 9 6 18 7 9 25 24 0 140 0 1472 1 3 2 2 7722
7000 11 9 25 6 9 23 19 0 143 0 1472 0 2 1 2 8731
6000 8 163 24 7 11 18 41 0 144 0 1370 0 2 2 2 7793
6000 11 6 41 6 10 19 34 0 137 0 1461 16 3 2 2 7762
6000 11 6 20 7 10 30 22 0 253 0 1394 0 2 1 3 7769
7000 18 7 22 6 10 22 19 0 146 0 1462 0 3 1 2 8719
8000 10 10 23 7 13 26 21 0 111 0 1147 0 2 1 2 9374
7000 11 6 20 7 9 19 18 0 247 0 1332 0 2 2 3 8677
7000 10 6 29 9 15 23 20 0 129 0 1339 1 3 1 1 8592
5000 12 9 23 7 11 22 24 0 130 0 1151 1 2 1 2 6401
6000 12 8 21 11 9 31 18 0 131 0 1325 1 2 1 2 7573
6000 9 8 25 13 10 18 20 0 170 0 1374 1 2 1 1 7666
8000 11 5 23 6 16 21 21 0 118 0 1378 0 2 1 2 9610
6000 14 5 40 8 10 24 35 0 161 0 1298 0 3 2 2 7611
6000 9 5 23 7 14 20 25 0 128 0 1191 1 2 1 2 7441
7000 10 19 24 7 9 18 50 1 164 0 1386 0 3 1 2 8697
7000 12 6 20 9 10 27 23 0 163 0 1326 0 3 1 2 8611
