bm_datastore_asList_10 bm_datastore_asSingleEntity bm_datastore_delete bm_datastore_get bm_datastore_put bm_memcache_delete bm_memcache_get bm_memcache_put
23 7 27 6 44 3 3 2 122
27 8 27 6 42 2 3 3 125
33 9 62 17 46 3 4 3 180
30 8 26 7 44 4 3 4 127
28 8 27 7 49 4 3 3 137
23 8 32 20 45 4 2 4 138
22 7 27 7 47 3 2 2 126
26 30 25 7 45 3 4 3 150
24 9 27 6 47 3 2 3 121
25 9 31 7 47 2 3 2 130
36 7 31 8 44 3 3 2 135
22 9 27 6 43 3 3 2 121
27 7 28 17 48 3 3 1 138
25 9 28 6 46 3 2 2 129
34 8 28 6 66 3 2 3 151
23 8 29 7 50 3 3 2 127
24 8 29 9 46 3 3 2 133
21 8 28 6 45 2 2 2 123
38 9 29 10 47 3 2 2 140
27 9 27 6 47 2 2 2 122
24 9 29 16 73 2 3 2 164
24 10 29 8 65 2 3 2 151
26 8 30 6 74 2 3 2 159
25 8 31 8 55 3 3 3 141
29 8 29 6 45 3 2 2 129
28 8 26 7 48 3 2 3 132
26 9 29 6 46 2 3 2 129
29 36 29 8 51 4 4 3 170
38 8 27 7 63 3 3 4 161
35 9 32 7 47 3 4 4 144
41 9 29 7 75 4 3 8 178
33 8 27 16 49 4 3 4 152
27 9 32 7 45 4 3 2 129
32 10 35 11 47 4 3 3 150
22 8 27 6 44 2 4 2 122
30 8 30 8 44 2 3 2 131
26 9 29 6 43 3 3 2 126
26 9 29 7 43 3 2 3 130
25 9 29 7 53 3 3 2 133
22 8 31 7 46 3 3 2 129
24 8 49 7 44 3 3 3 149
28 7 26 6 45 3 2 3 128
30 8 28 7 44 3 3 13 141
30 9 29 21 46 3 3 2 146
25 8 31 7 48 3 2 2 130
32 11 36 10 90 3 3 2 195
31 10 27 9 47 2 2 3 135
27 10 28 15 63 2 3 2 155
30 9 32 8 45 4 3 2 141
29 9 30 8 77 3 3 3 166
28 8 30 17 49 3 2 2 148
24 7 29 6 46 3 2 3 123
31 8 72 7 43 2 3 2 169
26 8 33 8 43 3 2 2 125
30 8 29 16 45 3 3 2 141
22 8 28 15 48 3 3 3 132
37 9 48 8 45 3 4 3 160
27 9 31 16 80 3 3 3 178
39 8 28 9 43 3 6 20 163
29 10 27 39 49 4 4 3 166
35 10 32 8 53 4 4 2 154
34 10 31 8 44 4 4 3 147
27 9 30 8 43 3 2 2 131
40 9 31 6 45 2 3 3 147
27 8 29 16 45 4 3 3 139
28 8 28 6 46 2 3 2 130
26 8 27 7 45 2 3 2 127
40 10 30 6 49 3 3 2 146
32 8 32 7 49 2 3 2 143
41 8 29 8 46 3 3 3 148
25 8 30 7 47 3 2 2 124
27 10 60 16 78 3 2 2 206
28 8 28 7 46 3 3 2 131
29 10 33 8 44 3 3 2 134
28 10 32 8 44 3 3 2 134
24 9 28 7 46 3 2 2 129
24 10 27 7 75 3 3 2 160
25 8 28 8 48 3 2 2 126
24 7 31 15 46 2 2 2 135
24 9 28 6 44 2 3 3 128
34 10 30 7 46 3 4 3 140
32 9 29 16 48 3 3 6 152
38 9 31 8 73 4 4 4 177
28 11 28 7 49 3 3 4 138
41 9 29 7 66 3 4 4 167
38 8 28 8 48 5 4 3 146
42 9 32 7 45 3 3 3 148
46 9 38 10 74 4 4 4 189
42 10 73 8 44 3 4 3 191
23 8 27 9 48 2 3 2 129
26 8 30 8 49 3 2 3 130
27 9 28 14 46 3 3 2 140
29 8 29 7 45 3 2 2 132
101 8 33 8 44 3 3 2 206
27 13 28 18 47 3 3 1 145
30 9 31 8 46 3 3 3 138
34 8 32 10 45 2 2 3 136
29 8 31 7 42 3 3 3 127
25 13 32 7 74 3 3 2 159
25 9 32 7 46 3 3 2 134
24 8 31 6 46 3 2 3 130
31 9 28 6 45 3 3 3 133
31 9 29 46 45 3 3 3 177
28 9 29 8 87 3 3 2 176
24 9 29 7 47 3 2 1 129
28 10 68 6 44 7 4 4 176
37 9 29 8 48 4 4 2 144
27 10 31 11 44 3 4 3 141
31 48 32 7 44 3 3 4 176
26 9 30 7 45 4 3 3 128
29 9 32 8 50 4 3 3 139
31 9 28 7 46 3 3 3 136
29 9 30 7 48 3 3 2 135
30 8 27 7 43 2 3 2 126
33 10 33 6 57 2 3 2 148
25 8 32 7 44 3 2 3 124
26 9 32 8 45 2 3 2 128
27 10 29 9 45 3 2 2 135
25 10 30 9 48 3 3 3 131
33 9 29 45 50 3 3 2 182
27 46 29 8 46 3 3 3 165
89 7 30 8 45 3 3 2 187
23 9 32 8 74 3 3 2 154
26 8 29 16 48 3 2 1 137
31 8 27 6 52 2 3 2 132
25 9 30 74 48 2 3 2 197
29 11 29 7 44 3 3 2 136
29 57 29 9 49 2 2 2 180
28 9 56 9 44 3 3 2 159
37 8 37 18 46 2 3 2 160
35 9 31 6 44 3 3 2 137
38 8 30 7 62 4 3 4 164
38 8 28 8 43 4 4 28 167
26 9 31 8 48 4 4 4 134
34 9 28 8 47 3 2 2 134
31 10 29 7 55 4 3 3 151
32 9 32 7 45 3 4 4 142
35 8 28 7 44 3 3 4 137
37 8 28 7 42 2 3 3 135
28 10 27 7 45 4 3 3 136
36 8 31 8 45 3 3 18 160
38 9 28 7 57 4 3 2 153
38 9 34 11 71 4 3 3 180
33 9 29 7 44 3 2 1 132
35 8 646 31 46 3 3 2 783
41 15 29 7 52 2 3 2 158
33 10 42 9 46 4 3 2 157
34 10 34 9 43 3 3 2 139
37 10 52 6 45 3 2 2 164
34 9 28 6 41 3 2 3 133
97 9 32 8 47 3 3 3 207
29 8 31 6 45 3 2 2 135
98 115 27 17 80 2 3 2 345
27 9 44 7 45 3 3 2 147
27 122 100 98 45 2 3 2 402
116 7 30 7 50 2 4 2 218
34 9 35 6 48 4 4 4 152
36 9 29 7 54 4 4 3 153
38 12 28 16 74 4 3 3 180
32 8 26 7 61 3 3 2 146
30 9 38 7 42 3 4 4 143
36 7 33 7 67 3 3 4 165
26 8 47 8 48 3 2 2 151
34 8 41 7 44 3 3 25 167
30 7 29 5 73 3 2 2 157
34 8 30 6 45 3 3 3 141
26 7 28 6 45 3 3 2 128
28 8 28 18 46 3 3 3 145
23 6 28 6 52 3 2 3 123
32 9 58 16 45 3 2 3 169
35 7 37 6 45 2 2 3 140
23 7 27 5 45 2 2 3 114
34 8 29 8 42 4 3 5 134
28 7 33 6 45 2 2 2 125
66 7 28 6 47 3 2 2 167
23 6 85 5 162 2 3 2 295
33 8 87 9 139 3 2 2 286
25 10 130 5 160 4 2 2 340
30 9 90 6 135 2 2 2 281
28 7 88 6 160 3 3 2 303
25 7 91 7 128 8 4 3 273
28 8 26 5 131 2 3 2 206
32 8 117 6 46 4 4 3 224
24 8 89 11 162 3 2 1 300
30 9 89 7 131 4 3 4 284
26 9 25 7 49 4 3 3 129
27 8 89 7 75 4 3 3 218
32 9 30 6 134 4 3 4 222
26 8 117 7 133 3 3 3 305
34 8 105 7 45 2 3 4 211
29 7 114 7 45 3 3 3 214
23 7 29 5 135 3 2 2 213
27 44 31 15 46 2 3 2 175
23 7 25 6 81 3 2 3 150
25 7 114 16 51 3 2 3 224
20 8 29 6 44 3 2 2 122
23 7 27 6 51 3 3 3 126
27 8 29 6 91 2 3 2 173
24 7 25 5 77 3 3 3 147
23 7 27 5 46 2 3 2 118
34 7 27 6 131 3 2 2 215
38 8 26 6 46 4 3 19 158
25 7 27 7 49 4 2 3 131
87 10 27 8 47 4 3 3 198
28 7 26 6 49 4 3 3 131
22 8 27 18 50 2 2 4 140
37 7 29 16 47 4 3 4 153
31 10 28 17 48 4 2 3 147
24 9 32 18 46 2 2 2 143
26 8 30 16 46 3 2 2 140
26 9 35 7 47 3 3 3 142
27 8 33 46 47 2 3 5 180
32 11 26 6 45 3 2 2 132
27 9 30 7 44 2 3 2 129
25 9 29 7 43 2 3 2 121
24 8 30 6 52 3 3 2 136
43 6 28 5 127 4 3 2 220
25 7 59 6 44 3 2 2 155
28 9 27 6 43 3 2 3 128
39 56 32 15 46 2 2 2 199
23 8 30 17 48 2 3 2 139
22 8 30 16 47 2 3 2 135
26 9 30 17 46 3 3 2 145
28 8 27 7 44 3 3 4 129
29 8 27 7 47 2 3 4 131
33 8 27 7 44 4 3 4 135
31 18 27 6 47 4 2 3 142
28 8 29 8 49 3 3 4 138
35 8 33 17 49 4 3 25 181
26 6 28 6 46 3 2 2 119
31 7 32 8 44 3 2 3 133
26 7 28 7 47 2 3 3 125
26 8 26 7 64 4 2 1 141
40 8 28 7 50 3 3 2 146
28 81 31 6 45 4 3 3 207
33 8 27 6 44 3 3 3 130
27 9 55 46 50 4 3 3 200
25 8 31 7 45 3 3 2 124
24 7 26 7 56 3 2 2 133
24 9 25 6 62 3 3 2 140
22 7 30 7 44 2 3 2 126
57 8 27 6 45 3 3 2 159
31 9 35 5 51 2 3 1 137
28 7 29 5 80 3 3 1 163
30 7 28 5 44 3 2 2 130
30 7 30 15 45 4 3 4 139
25 7 26 7 45 3 3 3 128
30 8 26 8 42 4 3 3 128
31 8 27 6 101 4 4 3 191
35 9 30 16 46 3 4 4 149
33 6 27 7 75 3 3 3 161
40 10 27 8 90 3 4 3 190
32 34 27 9 48 4 3 4 165
33 9 35 6 46 3 4 3 139
29 7 37 6 49 3 2 3 138
29 9 25 7 47 3 2 2 124
27 8 28 6 46 3 2 2 124
29 8 27 18 46 2 3 2 137
30 8 28 42 45 3 2 1 166
32 7 29 7 49 2 3 2 139
34 9 27 8 47 3 3 3 140
31 7 26 36 44 3 3 2 152
32 66 26 8 43 2 3 2 190
33 7 29 5 64 2 2 2 147
29 7 25 5 43 2 2 2 119
27 7 26 15 53 3 2 2 142
25 8 31 16 44 2 3 2 135
31 7 28 7 48 3 2 2 132
34 10 29 7 46 3 2 2 136
34 8 28 6 45 3 2 2 132
32 8 27 6 52 3 3 2 135
27 9 28 15 74 3 2 1 161
25 8 29 6 73 3 3 2 157
29 8 25 7 42 3 3 1 119
34 10 31 7 45 4 3 3 138
32 9 27 7 41 3 2 3 133
39 8 27 7 45 4 3 4 146
38 9 28 8 75 4 3 3 177
35 14 31 7 48 4 3 3 146
38 9 28 8 43 4 2 3 142
34 55 27 7 47 3 3 4 184
25 8 27 7 47 3 3 2 124
23 8 28 7 45 3 3 2 121
26 8 27 21 47 3 3 3 140
28 8 30 16 49 3 3 2 141
29 10 29 10 48 3 3 3 142
30 9 32 17 77 3 3 3 179
31 9 90 7 45 3 3 2 197
28 10 32 7 48 3 3 1 134
31 9 30 17 48 4 3 2 152
28 9 31 26 47 3 2 3 151
30 8 32 6 55 3 3 2 139
27 11 28 8 46 3 2 1 128
29 8 29 6 47 3 2 3 135
27 9 70 17 48 2 3 2 184
28 8 32 7 46 4 2 4 133
28 9 28 7 44 2 3 2 127
25 8 29 6 44 3 3 3 127
32 9 32 7 43 3 2 13 144
31 8 27 7 46 4 3 3 132
33 9 27 7 47 3 4 3 137
32 10 29 8 50 3 3 3 147
31 8 30 8 73 4 7 2 167
33 9 30 7 55 3 8 2 154
47 10 29 8 48 4 4 4 162
33 9 30 8 47 3 3 2 144
69 11 31 17 51 3 2 2 187
26 9 28 6 45 2 3 2 123
27 8 32 8 50 3 3 2 138
25 7 43 6 47 3 2 1 142
29 7 27 6 43 3 3 3 125
23 8 26 6 44 4 2 2 120
26 8 27 6 53 4 3 3 135
23 9 26 6 47 3 2 2 122
26 8 30 29 43 2 2 1 142
27 7 28 6 110 3 2 2 189
28 7 29 18 47 3 3 2 141
27 9 28 7 46 2 3 5 136
26 9 33 6 45 2 6 2 137
25 7 28 7 88 3 5 2 171
27 8 28 18 47 5 3 2 138
25 8 28 6 50 5 3 2 132
25 7 27 6 50 6 2 2 125
79 8 27 5 47 3 4 4 183
30 9 29 7 43 4 3 4 129
29 8 28 19 47 8 3 5 147
30 7 30 6 43 4 4 3 128
33 9 27 7 47 3 4 3 136
26 9 33 7 44 3 3 3 136
26 8 26 6 45 3 3 3 129
42 8 29 6 46 4 3 4 151
26 8 32 8 44 3 3 2 127
28 9 30 7 55 3 3 2 138
24 8 26 6 45 3 2 2 125
23 7 30 5 46 3 3 2 125
37 9 109 7 50 4 4 18 241
32 9 29 8 51 3 3 2 139
30 10 29 8 76 3 3 2 168
24 9 31 7 44 2 2 2 126
90 8 33 6 47 2 3 2 191
26 8 75 7 47 2 3 2 176
27 8 31 8 47 4 2 3 136
30 9 27 17 45 3 3 3 140
31 9 26 8 47 2 3 3 129
33 10 32 8 50 3 2 5 148
26 8 70 7 120 3 3 2 241
36 9 31 7 45 4 3 3 143
31 9 30 69 75 3 3 3 224
26 10 28 7 66 4 3 3 148
38 8 28 7 43 3 3 3 133
32 8 28 6 49 2 3 2 136
34 9 31 7 45 2 3 2 139
36 8 30 7 43 3 2 2 140
26 8 35 6 43 2 3 2 133
30 8 31 5 45 2 3 2 127
29 54 33 9 47 3 2 2 179
33 9 29 7 46 3 2 9 142
39 8 32 7 77 3 3 3 175
33 8 28 7 98 3 2 4 184
28 8 31 19 45 3 2 2 145
27 9 28 47 76 2 2 2 199
29 11 27 6 46 3 2 2 127
33 9 28 7 50 3 4 2 143
33 8 29 7 46 3 3 3 138
31 8 31 8 45 3 3 1 130
31 8 28 7 44 2 3 2 129
31 7 27 8 91 2 3 2 179
34 10 26 7 47 3 2 2 135
42 10 48 18 53 3 3 3 180
44 9 31 17 46 4 3 2 165
41 17 30 19 78 4 4 4 201
35 9 32 12 48 4 3 3 152
31 9 29 12 48 3 4 2 144
33 10 35 8 46 3 3 3 143
38 9 27 8 43 3 4 2 137
24 8 29 8 48 4 3 2 134
24 8 29 17 44 2 3 3 137
23 7 28 6 43 3 2 2 120
27 8 30 27 49 3 2 3 152
37 10 31 8 75 3 4 7 175
26 8 42 6 46 2 3 5 142
31 17 28 7 46 2 3 5 147
26 9 30 7 45 2 7 2 129
30 8 31 7 44 5 3 1 129
22 9 32 16 54 5 3 4 151
25 9 30 6 48 3 3 2 133
25 7 29 7 45 3 2 2 129
31 7 29 5 44 3 2 1 131
26 7 28 6 53 3 3 5 131
24 8 27 6 44 2 3 2 124
25 8 27 8 44 3 2 2 124
27 7 31 8 45 2 3 2 128
28 9 27 6 44 3 2 3 131
30 8 27 6 46 4 2 2 132
25 8 26 6 45 3 2 3 126
29 9 29 16 48 2 3 2 140
27 8 27 6 45 3 3 2 126
30 8 28 6 45 2 3 3 131
29 7 30 8 48 4 3 4 139
31 9 29 7 46 4 5 3 136
35 9 27 6 50 2 8 3 147
30 7 30 8 45 3 2 5 139
35 9 30 9 81 4 2 3 173
36 10 30 7 56 3 3 3 153
32 11 29 19 96 3 4 2 203
26 8 32 6 52 3 4 3 134
29 23 38 6 51 2 3 2 159
29 9 32 8 51 3 3 2 142
27 9 30 6 75 2 3 2 156
28 9 29 7 43 3 3 2 130
28 14 29 7 47 3 3 2 137
24 9 27 6 82 3 3 2 156
29 8 28 6 46 2 3 2 129
83 8 29 7 50 2 3 2 191
28 9 26 7 99 2 3 3 184
27 9 29 6 44 2 3 2 131
29 8 34 7 43 2 2 2 128
29 10 29 18 50 3 3 3 152
26 9 28 65 45 2 3 2 182
23 9 68 7 47 3 2 2 170
36 9 30 6 47 2 3 3 141
29 9 29 7 47 3 2 5 134
34 9 28 6 62 3 2 3 155
29 8 31 7 47 3 3 5 138
26 9 30 8 45 3 5 2 130
26 9 28 17 78 5 3 1 174
28 8 28 6 45 5 3 2 125
28 12 29 6 45 3 5 2 139
26 9 28 7 49 5 3 2 135
27 8 27 5 42 2 3 2 117
22 9 36 7 45 2 6 2 134
31 9 31 78 79 4 3 3 240
32 9 29 8 47 4 3 4 140
30 9 29 8 45 3 2 3 138
31 9 25 8 73 4 3 4 163
30 9 27 7 63 3 3 4 147
27 9 27 7 49 2 2 4 131
25 10 27 7 47 3 2 2 124
24 10 29 6 45 3 2 2 121
26 9 29 16 46 3 3 4 136
29 10 28 17 78 3 2 3 175
25 8 30 7 49 3 2 3 132
31 7 90 7 134 3 2 2 284
27 7 87 7 133 3 2 2 277
24 8 90 6 48 3 2 2 190
22 7 114 6 130 3 2 2 294
23 7 90 8 51 2 2 3 191
33 8 91 8 134 3 3 2 287
25 9 30 6 45 3 2 2 129
26 10 26 7 44 2 3 5 126
24 9 30 6 47 6 3 2 127
34 8 57 6 47 2 3 2 164
40 9 90 6 135 3 6 2 296
29 8 91 8 44 4 4 3 192
90 8 28 7 43 2 3 3 187
35 9 27 8 45 5 2 4 141
25 8 29 7 116 3 3 4 197
34 9 28 8 46 2 4 3 135
67 9 27 7 45 3 4 3 172
34 7 27 6 45 3 4 3 132
30 9 29 7 48 4 3 3 140
28 8 34 7 49 3 3 3 143
29 7 26 6 44 2 3 2 119
23 9 27 10 43 3 2 2 121
24 9 28 6 72 2 3 2 147
33 8 28 6 59 3 3 2 146
84 7 26 7 45 3 3 2 180
35 11 31 7 51 2 3 3 148
32 10 46 8 49 4 2 3 157
31 9 29 7 48 3 2 2 138
37 9 39 17 50 3 3 3 163
31 8 31 8 48 3 3 2 140
28 7 28 6 48 3 3 2 134
31 10 93 17 46 4 3 13 218
31 8 26 7 43 2 3 3 132
27 7 30 6 44 3 3 3 127
31 8 28 7 47 3 2 2 128
50 9 27 9 52 3 2 3 160
38 8 29 6 47 4 3 2 139
35 8 32 8 44 3 3 3 140
41 8 28 7 47 2 3 2 143
306 8 29 17 46 4 3 3 418
38 10 30 17 44 2 4 3 152
37 9 31 17 46 4 3 4 159
35 8 32 17 59 3 3 3 163
40 13 33 9 92 4 3 3 200
28 9 30 7 51 3 3 3 136
28 10 58 7 48 4 5 3 169
31 8 29 6 44 2 3 2 134
69 10 33 8 46 3 2 3 179
37 7 28 16 49 2 3 2 146
27 61 26 9 47 3 2 3 187
28 9 25 7 59 2 2 2 134
35 10 31 17 45 3 3 3 152
85 8 30 8 47 3 2 3 195
42 10 30 8 50 3 3 3 150
26 9 30 16 43 2 2 2 139
39 8 29 20 44 3 2 2 150
36 8 28 7 88 3 3 3 178
30 8 27 8 53 3 2 2 136
35 9 30 7 115 3 2 23 232
64 9 28 6 44 3 3 2 162
28 8 29 6 45 3 3 2 127
59 8 27 7 43 3 3 2 160
29 36 28 6 46 2 3 2 154
27 8 29 7 51 4 4 3 142
34 8 29 7 45 4 3 3 137
32 10 30 7 44 4 3 4 138
27 8 25 7 47 4 8 3 138
27 8 28 8 46 3 5 2 130
30 9 26 7 49 4 2 4 140
40 11 44 6 48 4 3 4 163
25 10 31 6 47 3 2 2 131
32 11 32 8 74 2 3 4 167
37 9 33 7 45 3 3 2 140
33 8 31 8 47 3 2 3 138
32 10 29 8 46 3 3 3 142
29 10 110 7 49 2 2 2 220
26 8 31 7 61 3 3 2 147
29 9 37 7 48 3 2 3 139
33 9 29 9 47 2 3 2 136
25 9 31 17 47 3 2 3 145
22 8 34 18 48 3 3 3 140
31 9 38 8 47 3 2 3 146
22 8 33 8 47 3 6 2 134
35 9 30 7 49 3 3 7 144
26 8 29 8 48 6 2 2 134
25 8 29 7 47 3 6 2 134
33 9 29 18 46 3 2 5 152
36 11 30 12 59 5 4 3 169
31 9 27 8 48 4 4 3 142
32 9 30 8 44 4 3 4 136
31 8 27 8 44 3 4 4 135
32 8 28 7 44 5 3 3 130
35 8 29 7 46 4 3 4 143
32 8 28 7 47 3 4 2 140
33 8 30 7 47 3 2 13 149
33 8 36 17 57 5 3 2 164
25 7 51 9 50 3 3 2 152
81 9 33 7 54 3 3 3 194
37 9 33 20 48 3 2 3 155
24 33 33 23 64 2 3 2 193
33 9 28 8 118 4 2 2 207
31 9 79 7 45 3 3 2 186
31 9 33 8 48 2 2 3 136
31 8 26 6 47 2 3 2 126
23 8 27 7 45 3 2 2 121
28 8 30 15 46 3 3 2 141
26 8 30 6 45 3 3 2 125
26 8 25 7 47 3 3 2 129
28 9 30 19 74 2 2 2 175
31 23 27 6 44 2 3 3 143
30 8 28 6 78 4 3 3 164
28 9 28 7 49 3 2 2 137
24 7 28 17 48 3 2 2 140
25 9 28 8 73 3 3 16 167
32 9 31 6 45 3 3 1 133
35 9 29 7 44 4 3 2 141
24 8 27 10 48 4 2 3 126
40 10 31 8 47 2 4 4 149
27 9 28 8 49 3 4 3 138
78 8 27 8 45 4 4 3 180
27 10 30 7 84 3 3 2 168
25 11 29 7 47 3 4 3 138
28 11 28 7 49 4 3 5 136
32 9 29 7 46 3 3 2 135
34 8 25 6 50 3 4 2 139
27 8 31 16 46 3 2 2 144
28 9 31 16 47 7 2 2 150
30 7 27 7 44 3 2 3 126
28 8 33 7 43 3 2 3 134
28 9 27 9 48 2 4 2 131
27 8 29 7 45 2 2 2 125
29 10 31 7 49 3 3 2 139
35 9 33 7 46 4 3 3 147
30 9 31 8 46 3 2 2 139
31 9 29 7 47 3 4 2 140
32 8 30 16 45 3 3 3 148
28 9 29 8 48 4 3 3 135
30 9 30 17 48 3 2 2 142
30 9 30 8 47 3 3 2 141
33 8 29 6 43 2 4 2 128
46 8 27 8 44 3 4 3 148
90 10 30 11 49 4 3 4 205
28 10 32 8 45 3 2 2 135
34 11 27 8 46 3 3 2 141
30 9 29 8 72 3 2 2 163
34 8 31 40 46 3 2 3 167
37 9 32 7 73 4 4 3 176
41 10 33 7 46 4 4 3 156
27 9 33 7 90 3 3 2 182
32 14 29 7 46 3 3 3 145
25 11 29 17 46 3 3 2 136
27 12 29 35 45 3 3 2 159
26 8 30 7 44 3 3 2 128
27 63 32 7 49 2 3 2 191
71 8 77 7 44 3 3 6 228
33 8 27 10 45 3 2 2 132
39 94 27 15 48 2 3 8 241
54 18 25 6 44 3 3 2 158
25 7 28 6 46 3 2 2 126
38 7 28 5 43 3 2 2 137
34 7 27 7 45 3 3 3 134
34 7 30 5 43 3 3 2 135
42 9 25 7 46 4 3 3 140
30 7 24 18 47 3 3 3 138
21 7 29 5 49 8 3 2 124
47 6 24 7 48 4 2 4 146
26 7 26 6 46 2 4 3 126
24 7 26 5 48 3 4 3 120
20 8 29 6 43 5 4 6 130
29 7 28 17 53 2 2 2 146
23 7 26 8 47 3 2 3 126
70 8 28 16 49 2 2 2 183
20 6 31 6 46 2 3 2 117
26 7 25 6 47 2 3 2 123
26 7 112 6 46 3 3 1 205
24 8 63 6 44 3 3 2 159
29 8 29 6 46 7 2 2 136
29 10 30 8 77 3 3 2 167
28 6 28 5 50 3 3 5 133
32 6 25 54 45 2 3 2 172
25 10 29 5 45 3 3 2 123
22 7 24 6 45 3 3 2 112
22 7 25 6 46 2 3 3 120
26 8 31 17 76 3 2 3 174
33 8 28 5 44 2 3 3 133
28 8 40 16 47 3 3 2 149
24 6 85 6 48 3 3 2 186
29 10 25 5 85 2 3 2 163
28 6 27 6 45 3 3 2 123
29 7 29 5 48 3 4 2 135
24 6 29 7 45 4 4 3 125
25 46 25 6 51 3 3 2 163
43 8 28 8 49 4 3 2 147
25 10 30 19 50 7 3 2 149
40 9 28 6 44 4 3 3 141
56 7 25 6 45 4 3 2 153
28 7 27 15 45 3 3 4 135
33 7 27 5 49 3 2 4 136
30 8 28 6 44 4 3 4 127
33 17 29 15 47 3 3 3 153
27 8 26 6 49 3 2 2 128
24 7 25 6 55 4 2 3 132
21 8 28 6 57 3 3 3 132
27 9 25 6 45 3 3 3 126
22 6 24 6 46 3 3 2 121
24 6 28 6 42 3 3 2 116
66 7 29 5 46 3 3 3 169
29 8 30 44 45 2 3 3 164
31 6 27 15 77 3 3 2 173
26 9 29 6 47 3 2 2 130
29 8 30 7 105 3 3 2 193
27 8 33 6 45 3 3 2 136
23 10 28 6 48 3 2 2 123
20 7 31 16 44 3 2 2 129
29 6 25 7 43 3 3 2 122
26 8 27 7 46 2 4 2 131
23 7 33 5 48 3 7 3 134
21 8 25 5 41 2 3 2 113
28 20 30 16 48 3 2 2 150
23 7 29 16 103 2 3 5 197
23 8 27 6 50 3 2 6 131
26 6 27 17 47 3 2 6 142
32 8 28 15 45 3 3 5 145
33 6 28 6 48 3 4 3 135
23 6 188 18 99 3 4 3 351
25 12 28 16 50 3 2 3 139
21 8 29 7 48 2 3 2 128
27 8 29 7 48 3 3 3 133
28 8 25 6 46 4 2 4 130
25 8 27 16 67 3 3 4 159
31 8 29 16 49 3 3 2 145
44 9 25 6 46 4 3 3 143
38 9 29 7 44 4 4 3 144
39 8 29 6 47 3 3 3 141
37 8 26 7 77 3 4 2 168
27 7 28 5 42 3 2 2 118
23 15 25 4 43 3 3 10 130
27 7 30 15 48 3 3 2 136
28 8 27 6 49 2 4 2 135
30 8 27 5 43 3 2 3 129
27 8 25 5 43 2 3 2 118
31 7 27 5 44 2 3 2 130
30 6 24 6 43 3 3 3 124
26 6 26 6 45 3 2 3 124
25 9 25 6 44 4 3 2 119
30 6 24 5 45 3 3 2 120
28 8 29 6 45 2 2 4 130
37 7 29 6 45 3 3 2 139
24 8 28 5 46 2 3 2 118
23 6 26 7 43 3 2 2 120
26 7 24 5 45 3 2 2 116
28 7 31 15 44 3 2 2 134
27 7 29 5 43 3 2 3 120
31 37 25 13 45 3 3 2 159
26 8 25 6 45 2 2 2 118
51 8 57 7 44 2 3 2 177
29 8 26 5 46 3 3 3 126
26 7 31 104 45 3 3 3 223
33 8 28 6 48 3 4 4 142
30 7 55 15 79 3 2 2 193
28 10 25 6 46 3 3 3 133
26 7 26 6 46 4 4 2 124
33 8 24 5 47 2 3 2 124
30 7 25 8 44 4 2 3 132
26 7 26 6 44 3 3 2 117
57 10 27 6 47 3 2 2 156
27 8 28 6 45 3 3 2 125
28 7 25 5 44 4 3 1 125
23 8 88 5 164 3 3 2 296
32 8 88 124 132 3 3 2 400
31 8 90 5 162 3 2 2 312
25 8 37 16 356 3 2 2 458
20 11 124 17 362 3 2 2 547
22 15 25 5 134 3 3 3 213
21 7 87 7 131 3 2 3 262
57 8 25 7 46 3 3 3 154
30 8 119 6 133 2 3 3 307
24 7 89 6 45 3 2 2 185
27 7 27 6 47 4 3 2 126
27 8 26 6 48 3 3 3 132
24 8 29 5 73 3 2 3 152
112 8 88 7 54 2 3 2 283
27 9 29 7 46 3 3 3 133
26 7 29 7 81 4 2 3 168
28 6 89 5 81 3 4 2 224
24 7 29 20 127 3 3 2 217
26 7 25 7 45 3 2 3 124
22 18 26 6 77 2 3 3 163
28 15 30 6 163 3 3 2 255
26 15 28 7 46 3 3 1 138
28 8 26 6 130 3 3 2 213
27 21 89 6 42 3 4 3 201
27 14 88 5 134 2 3 2 284
27 7 92 17 49 2 3 3 209
27 19 28 6 46 3 3 2 134
29 23 24 5 74 2 4 3 164
24 19 30 7 50 4 3 4 147
31 20 27 7 130 4 4 4 230
42 10 31 9 44 2 2 3 147
33 10 33 15 52 2 3 3 160
38 10 27 8 122 4 6 3 219
37 10 39 7 130 4 4 3 243
21 7 29 16 76 3 4 2 165
29 7 91 7 44 4 3 2 187
29 6 25 8 51 3 3 3 134
31 8 28 7 54 4 3 2 141
23 7 28 5 148 3 2 2 227
28 8 25 6 74 2 3 2 148
27 28 98 15 77 3 3 2 253
28 7 26 36 44 2 2 2 149
21 7 29 6 43 3 4 2 116
24 7 26 6 45 3 3 2 121
22 7 52 7 44 3 3 2 145
23 8 25 16 46 2 2 2 129
24 8 25 7 42 3 2 2 116
25 7 26 5 73 4 3 3 149
26 6 27 6 49 3 2 3 122
30 11 25 7 46 3 3 2 127
60 7 63 6 41 3 3 2 187
42 9 29 7 64 3 5 3 167
28 8 28 6 44 3 2 2 123
90 7 29 15 56 3 3 2 208
26 7 27 5 44 4 2 2 123
23 8 28 5 45 3 2 3 118
27 9 27 6 47 3 4 2 129
29 8 26 6 66 2 3 2 143
28 6 25 8 53 3 3 3 130
22 6 25 7 42 6 3 2 117
29 9 26 50 135 3 3 6 270
34 8 26 8 44 3 4 4 140
42 14 28 6 44 4 3 4 149
