bm_datastore_asList_10 bm_datastore_asSingleEntity bm_datastore_delete bm_datastore_get bm_datastore_put bm_memcache_delete bm_memcache_get bm_memcache_put
30 8 28 7 46 2 3 2 126
26 10 26 7 43 3 3 4 126
31 8 27 8 47 2 3 2 129
25 8 31 6 46 3 3 3 127
36 10 28 8 47 2 3 3 145
30 9 32 9 48 3 3 2 139
25 7 33 17 47 3 3 3 138
25 8 28 8 57 3 2 3 140
40 11 32 16 48 3 3 3 161
23 9 31 15 44 3 3 13 146
36 8 30 16 46 3 2 3 151
34 9 63 18 53 2 3 3 193
27 9 29 7 60 3 2 2 141
33 8 31 7 43 2 3 8 135
291 7 31 9 45 3 3 3 399
38 8 29 7 46 4 3 3 139
30 7 27 7 46 2 4 3 135
39 9 29 8 46 4 4 4 147
39 8 91 20 46 4 3 4 222
37 8 29 8 73 4 3 3 167
34 8 32 7 45 4 3 4 143
29 8 32 8 72 2 4 5 169
29 8 29 7 45 2 4 3 131
41 8 33 8 49 2 3 2 154
58 9 54 18 83 3 3 2 237
40 9 30 7 45 3 3 2 141
30 8 28 6 105 3 3 3 191
45 9 30 7 55 3 3 2 157
53 10 35 9 47 3 3 3 171
29 9 68 10 59 3 3 3 187
31 8 28 8 49 2 3 3 136
26 10 30 7 43 4 3 3 135
24 9 29 17 43 2 2 3 136
24 8 25 8 46 2 3 2 118
29 9 31 8 48 2 3 2 137
27 9 29 16 45 3 2 3 135
26 9 26 11 46 3 3 3 127
37 10 30 8 45 4 3 3 145
25 10 32 10 43 2 3 3 131
31 9 29 18 48 3 3 3 151
28 8 64 8 83 3 2 3 208
34 54 30 9 48 3 3 3 190
46 9 49 18 56 3 3 4 192
30 7 28 6 44 2 2 3 127
44 10 30 8 49 4 3 4 157
66 12 30 7 80 3 3 2 203
26 79 29 8 49 2 3 3 203
28 9 32 46 53 2 3 2 177
30 9 28 7 74 3 2 2 164
29 9 28 7 46 3 2 3 131
32 12 30 17 46 2 3 3 147
34 10 29 8 45 3 3 3 143
46 10 28 7 50 3 4 3 153
31 9 72 7 46 2 3 3 181
25 9 29 8 47 3 3 4 129
32 10 30 8 46 3 4 3 136
38 10 33 7 90 4 2 4 192
35 9 32 7 48 3 3 3 142
38 10 32 34 53 3 4 3 182
129 111 122 21 74 3 3 2 472
152 111 33 45 45 3 3 4 399
29 82 29 18 47 3 3 4 215
125 11 86 16 47 4 3 3 299
35 10 28 8 49 2 2 3 143
122 9 30 8 47 3 3 3 226
32 10 30 7 48 3 2 3 136
49 10 31 18 47 3 3 2 168
36 9 38 8 47 3 3 2 154
33 9 33 17 46 3 3 2 150
29 34 28 7 58 2 3 2 168
33 8 32 7 46 2 3 3 134
28 8 34 17 47 3 3 3 144
76 9 36 23 60 2 4 3 217
25 9 31 7 44 2 3 2 123
27 8 28 11 44 2 2 2 133
27 9 30 17 51 3 3 2 144
32 8 44 8 49 3 2 3 157
38 10 29 18 61 3 2 3 168
31 9 29 7 48 4 3 4 143
34 8 35 7 75 3 3 2 176
27 9 27 7 46 3 3 2 124
27 22 31 8 46 3 2 3 145
31 8 35 8 47 2 3 2 139
100 9 30 9 43 3 4 3 201
30 9 31 18 46 3 2 2 147
27 10 29 8 48 2 3 4 140
32 10 32 8 46 4 4 3 139
37 9 27 9 47 3 4 5 141
29 10 30 10 46 3 3 2 135
35 8 29 9 47 4 3 3 138
28 9 31 9 49 2 2 4 136
35 9 27 7 75 4 2 4 167
27 8 27 7 76 3 3 2 153
32 8 26 7 42 3 2 3 126
25 28 30 17 46 3 2 3 160
28 8 28 8 92 2 2 2 179
27 8 29 17 46 2 2 4 136
26 8 29 70 48 3 2 2 189
34 8 29 17 44 3 3 3 146
33 8 29 16 44 3 2 4 143
34 8 30 7 45 3 3 2 139
28 10 29 15 52 3 3 3 150
371 10 29 8 46 3 3 2 479
29 9 31 11 48 2 3 2 141
32 8 29 16 56 3 3 2 155
26 7 28 8 44 3 3 2 122
30 9 38 8 47 3 2 3 141
32 8 31 17 49 3 2 2 146
36 8 33 82 47 4 3 3 217
24 8 37 7 45 3 3 2 131
30 9 32 8 45 3 3 2 132
2224 8 32 7 73 4 2 3 2360
27 10 32 11 44 2 3 3 135
27 7 28 6 51 4 3 3 138
34 9 33 7 78 3 3 4 180
