2016-08-12 15:23:55,469 [main]  INFO RootsEnvironment Initializing Roots environment.
2016-08-12 15:23:55,487 [main]  INFO FileConfigLoader Loading data store from: /home/ubuntu/roots-1.0.0-SNAPSHOT/conf/dataStores/elk.properties
2016-08-12 15:23:55,508 [main]  INFO FileConfigLoader Loading data store from: /home/ubuntu/roots-1.0.0-SNAPSHOT/conf/dataStores/default.properties
2016-08-12 15:23:55,633 [main]  INFO FileConfigLoader Loading benchmark from: /home/ubuntu/roots-1.0.0-SNAPSHOT/conf/benchmarks/javabook.properties
2016-08-12 15:23:55,658 [main]  INFO BenchmarkingService Scheduled job for: javabook [Benchmark]
2016-08-12 15:23:55,658 [main]  INFO AnomalyLogger Initializing AnomalyLogger
2016-08-12 15:23:55,670 [main]  INFO FileConfigLoader Loading detector from: /home/ubuntu/roots-1.0.0-SNAPSHOT/conf/detectors/javabook.properties
2016-08-12 15:23:57,611 [Roots-event-bus-1] DEBUG RelativeImportanceBasedFinder Response time vector: [0.0, 12.0, 20.0]
2016-08-12 15:23:57,612 [Roots-event-bus-1] DEBUG RelativeImportanceBasedFinder Response time vector: [0.0, 14.0, 22.0]
2016-08-12 15:23:57,612 [Roots-event-bus-1] DEBUG RelativeImportanceBasedFinder Response time vector: [0.0, 14.0, 21.0]
2016-08-12 15:23:57,613 [Roots-event-bus-1] DEBUG RelativeImportanceBasedFinder Response time vector: [0.0, 14.0, 22.0]
2016-08-12 15:23:57,622 [Roots-event-bus-1] DEBUG RelativeImportanceBasedFinder Response time vector: [0.0, 13.0, 22.0]
2016-08-12 15:23:57,623 [Roots-event-bus-1] DEBUG RelativeImportanceBasedFinder Response time vector: [0.0, 13.0, 21.0]
2016-08-12 15:23:57,623 [Roots-event-bus-1] DEBUG RelativeImportanceBasedFinder Response time vector: [0.0, 12.0, 20.0]
2016-08-12 15:23:57,624 [Roots-event-bus-1] DEBUG RelativeImportanceBasedFinder Response time vector: [1.0, 13.0, 24.0]
2016-08-12 15:23:57,632 [Roots-event-bus-1] DEBUG RelativeImportanceBasedFinder Response time vector: [0.0, 13.0, 20.0]
2016-08-12 15:23:57,633 [Roots-event-bus-1] DEBUG RelativeImportanceBasedFinder Response time vector: [0.0, 14.0, 22.0]
2016-08-12 15:23:57,633 [Roots-event-bus-1] DEBUG RelativeImportanceBasedFinder Response time vector: [0.0, 17.0, 24.0]
2016-08-12 15:23:57,634 [Roots-event-bus-1] DEBUG RelativeImportanceBasedFinder Response time vector: [0.0, 16.0, 24.0]
2016-08-12 15:23:57,642 [Roots-event-bus-1] DEBUG RelativeImportanceBasedFinder Response time vector: [0.0, 13.0, 20.0]
2016-08-12 15:23:57,642 [Roots-event-bus-1] DEBUG RelativeImportanceBasedFinder Response time vector: [0.0, 13.0, 22.0]
2016-08-12 15:23:57,643 [Roots-event-bus-1] DEBUG RelativeImportanceBasedFinder Response time vector: [0.0, 14.0, 22.0]
2016-08-12 15:23:57,644 [Roots-event-bus-1] DEBUG RelativeImportanceBasedFinder Response time vector: [1.0, 15.0, 28.0] (skipped)
2016-08-12 15:23:57,654 [Roots-event-bus-1] DEBUG RelativeImportanceBasedFinder Response time vector: [1.0, 13.0, 20.0]
