11:19:52 AM   UID       PID    %usr %system  %guest    %CPU   CPU  Command
11:37:17 AM  1000     27717    0.00    0.33    0.00    0.33     1  java
11:37:20 AM  1000     27717    0.33    0.00    0.00    0.33     1  java
11:37:23 AM  1000     27717    1.33    0.00    0.00    1.33     1  java
11:37:26 AM  1000     27717   12.00    6.33    0.00   18.33     1  java
11:37:29 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:37:32 AM  1000     27717    0.33    0.00    0.00    0.33     1  java
11:37:35 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:37:38 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:37:41 AM  1000     27717    0.33    0.33    0.00    0.67     1  java
11:37:44 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:37:47 AM  1000     27717    0.00    0.33    0.00    0.33     1  java
11:37:50 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:37:53 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:37:56 AM  1000     27717    0.33    0.00    0.00    0.33     1  java
11:37:59 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:38:02 AM  1000     27717    0.00    0.33    0.00    0.33     1  java
11:38:05 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:38:08 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:38:11 AM  1000     27717    0.33    0.00    0.00    0.33     1  java
11:38:14 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:38:17 AM  1000     27717    0.33    0.00    0.00    0.33     1  java
11:38:20 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:38:23 AM  1000     27717    1.67    1.33    0.00    3.00     1  java
11:38:26 AM  1000     27717   13.00    4.33    0.00   17.33     1  java
11:38:29 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:38:32 AM  1000     27717    0.33    0.00    0.00    0.33     1  java
11:38:35 AM  1000     27717    0.00    0.33    0.00    0.33     1  java
11:38:38 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:38:41 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:38:44 AM  1000     27717    0.33    0.00    0.00    0.33     1  java
11:38:47 AM  1000     27717    0.00    0.33    0.00    0.33     1  java
11:38:50 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:38:53 AM  1000     27717    0.33    0.00    0.00    0.33     1  java
11:38:56 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:38:59 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:39:02 AM  1000     27717    0.33    0.00    0.00    0.33     1  java
11:39:05 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:39:08 AM  1000     27717    0.33    0.00    0.00    0.33     1  java
11:39:11 AM  1000     27717    0.00    0.33    0.00    0.33     1  java
11:39:14 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:39:17 AM  1000     27717    0.33    0.00    0.00    0.33     1  java
11:39:20 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:39:23 AM  1000     27717    2.00    0.67    0.00    2.67     1  java
11:39:26 AM  1000     27717   12.33    5.00    0.00   17.33     1  java
11:39:29 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:39:32 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:39:35 AM  1000     27717    0.00    0.33    0.00    0.33     1  java
11:39:38 AM  1000     27717    0.33    0.00    0.00    0.33     1  java
11:39:41 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
