 S0C    S1C    S0U    S1U      EC       EU        OC         OU       MC     MU    CCSC   CCSU   YGC     YGCT    FGC    FGCT     GCT   
3072.0 3072.0  0.0   352.0  46592.0  25710.8   55296.0    49975.5   18304.0 17453.0 2176.0 1946.5     49    0.900   1      0.177    1.077
512.0  2560.0 224.0   0.0   41984.0   8371.5   55296.0    50039.5   18304.0 17453.0 2176.0 1946.5     52    0.938   1      0.177    1.115
2048.0 2048.0  0.0   288.0  38912.0  31700.7   55296.0    50247.6   18304.0 17470.4 2176.0 1946.5     55    0.975   1      0.177    1.152
1536.0 2560.0 1472.0  0.0   35840.0  26933.0   55296.0    50303.6   18304.0 17476.1 2176.0 1946.5     58    1.014   1      0.177    1.190
512.0  2048.0 448.0   0.0   31744.0   6450.7   55296.0    50383.6   18304.0 17501.4 2176.0 1946.5     62    1.048   1      0.177    1.225
1536.0 3072.0 1504.0  0.0   29184.0    0.0     55296.0    50487.6   18304.0 17511.3 2176.0 1946.5     66    1.086   1      0.177    1.263
3072.0 1024.0  0.0   576.0  27648.0  26939.3   55296.0    50535.6   18304.0 17511.3 2176.0 1946.5     69    1.114   1      0.177    1.291
512.0  3072.0 288.0   0.0   25088.0  10339.5   55296.0    50639.6   18304.0 17526.1 2176.0 1946.5     74    1.150   1      0.177    1.327
3072.0 512.0   0.0   288.0  22528.0   9773.1   55296.0    50735.6   18304.0 17527.6 2176.0 1946.5     79    1.190   1      0.177    1.367
512.0  2560.0 352.0   0.0   19968.0  13401.0   55296.0    50823.6   18304.0 17527.6 2176.0 1946.5     84    1.230   1      0.177    1.407
512.0  2048.0 256.0   0.0   18432.0  16809.8   55296.0    50919.6   18304.0 17527.6 2176.0 1946.5     90    1.274   1      0.177    1.451
1536.0 2560.0 1280.0  0.0   26624.0  17315.3   55296.0    51015.6   18304.0 17528.4 2176.0 1946.5     96    1.325   1      0.177    1.502
2560.0 512.0   0.0   288.0  24064.0   886.7    55296.0    51103.6   18304.0 17528.4 2176.0 1946.5    101    1.380   1      0.177    1.557
2560.0 3072.0 2080.0  0.0   21504.0   2853.2   55296.0    51199.6   18304.0 17537.9 2176.0 1946.5    106    1.427   1      0.177    1.604
2560.0 2560.0  0.0   288.0  44544.0  13675.0   55296.0    51527.7   18304.0 17539.2 2176.0 1946.5    111    1.480   1      0.177    1.657
512.0  2560.0 288.0   0.0   40448.0   1864.6   55296.0    51575.7   18304.0 17539.2 2176.0 1946.5    114    1.505   1      0.177    1.682
2560.0 2560.0  0.0   1536.0 37376.0   2558.9   55296.0    51639.7   18304.0 17539.5 2176.0 1946.5    117    1.534   1      0.177    1.711
512.0  2560.0 224.0   0.0   34304.0   9568.9   55296.0    51711.7   18304.0 17539.5 2176.0 1946.5    120    1.556   1      0.177    1.733
1536.0 2048.0  0.0   2048.0 31232.0  22989.8   55296.0    51791.7   18304.0 17539.5 2176.0 1946.5    123    1.585   1      0.177    1.762
1536.0 2048.0  0.0   1856.0 28672.0  20995.1   55296.0    51863.7   18304.0 17539.5 2176.0 1946.5    127    1.621   1      0.177    1.798
1536.0 2560.0 1472.0  0.0   26112.0   1586.4   55296.0    51959.7   18304.0 17540.4 2176.0 1946.5    132    1.657   1      0.177    1.834
