01:27:15 PM   UID       PID    %usr %system  %guest    %CPU   CPU  Command
01:37:39 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:37:42 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:37:45 PM  1000     29330    0.33    0.33    0.00    0.67     0  java
01:37:48 PM  1000     29330    7.00    0.33    0.00    7.33     0  java
01:37:51 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:37:54 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:37:57 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:38:00 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:38:03 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:38:06 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:38:09 PM  1000     29330    0.00    0.33    0.00    0.33     0  java
01:38:12 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:38:15 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:38:18 PM  1000     29330    0.33    0.33    0.00    0.67     0  java
01:38:21 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:38:24 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:38:27 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:38:30 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:38:33 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:38:36 PM  1000     29330    0.00    0.33    0.00    0.33     0  java
01:38:39 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:38:42 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:38:45 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:38:48 PM  1000     29330    4.67    1.00    0.00    5.67     0  java
01:38:51 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:38:54 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:38:57 PM  1000     29330    0.00    0.33    0.00    0.33     0  java
01:39:00 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:39:03 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:39:06 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:39:09 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:39:12 PM  1000     29330    0.00    0.33    0.00    0.33     0  java
01:39:15 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:39:18 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:39:21 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:39:24 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:39:27 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:39:30 PM  1000     29330    0.00    0.33    0.00    0.33     0  java
01:39:33 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:39:36 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:39:39 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:39:42 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:39:45 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:39:48 PM  1000     29330    4.67    0.67    0.00    5.33     0  java
01:39:51 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:39:54 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:39:57 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:40:00 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:40:03 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:40:06 PM  1000     29330    0.00    0.33    0.00    0.33     0  java
01:40:09 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:40:12 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:40:15 PM  1000     29330    0.33    0.33    0.00    0.67     0  java
01:40:18 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:40:21 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:40:24 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:40:27 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:40:30 PM  1000     29330    0.00    0.33    0.00    0.33     0  java
01:40:33 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:40:36 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:40:39 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:40:42 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:40:45 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:40:48 PM  1000     29330    3.67    0.67    0.00    4.33     0  java
01:40:51 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:40:54 PM  1000     29330    0.00    0.33    0.00    0.33     0  java
01:40:57 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:41:00 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:41:03 PM  1000     29330    0.00    0.33    0.00    0.33     0  java
01:41:06 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:41:09 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:41:12 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:41:15 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:41:18 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:41:21 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:41:24 PM  1000     29330    0.00    0.33    0.00    0.33     0  java
01:41:27 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:41:30 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:41:33 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:41:36 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:41:39 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:41:42 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:41:45 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:41:48 PM  1000     29330    5.67    0.67    0.00    6.33     0  java
01:41:51 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:41:54 PM  1000     29330    0.00    0.33    0.00    0.33     0  java
01:41:57 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:42:00 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:42:03 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:42:06 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:42:09 PM  1000     29330    0.00    0.33    0.00    0.33     0  java
01:42:12 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:42:15 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:42:18 PM  1000     29330    0.00    0.33    0.00    0.33     0  java
01:42:21 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:42:24 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:42:27 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:42:30 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:42:33 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:42:36 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:42:39 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:42:42 PM  1000     29330    0.00    0.33    0.00    0.33     0  java
01:42:45 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:42:48 PM  1000     29330    3.67    0.67    0.00    4.33     0  java
01:42:51 PM  1000     29330    0.00    0.33    0.00    0.33     0  java
01:42:54 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:42:57 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:43:00 PM  1000     29330    0.00    0.33    0.00    0.33     0  java
01:43:03 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:43:06 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:43:09 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:43:12 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:43:15 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:43:18 PM  1000     29330    0.00    0.33    0.00    0.33     0  java
01:43:21 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:43:24 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:43:27 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:43:30 PM  1000     29330    0.33    0.33    0.00    0.67     0  java
01:43:33 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:43:36 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:43:39 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:43:42 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:43:45 PM  1000     29330    0.67    0.00    0.00    0.67     0  java
01:43:48 PM  1000     29330    7.33    1.00    0.00    8.33     0  java
01:43:51 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:43:54 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:43:57 PM  1000     29330    0.00    0.33    0.00    0.33     0  java
01:44:00 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:44:03 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:44:06 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:44:09 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:44:12 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:44:15 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:44:18 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:44:21 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:44:24 PM  1000     29330    0.00    0.33    0.00    0.33     0  java
01:44:27 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:44:30 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:44:33 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:44:36 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:44:39 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:44:42 PM  1000     29330    0.00    0.33    0.00    0.33     0  java
01:44:45 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:44:48 PM  1000     29330    3.67    0.67    0.00    4.33     0  java
01:44:51 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:44:54 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:44:57 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:45:00 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:45:03 PM  1000     29330    0.33    0.33    0.00    0.67     0  java
01:45:06 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:45:09 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:45:12 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:45:15 PM  1000     29330    0.00    0.33    0.00    0.33     0  java
01:45:18 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:45:21 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:45:24 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:45:27 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:45:30 PM  1000     29330    0.00    0.33    0.00    0.33     0  java
01:45:33 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:45:36 PM  1000     29330    0.00    0.33    0.00    0.33     0  java
01:45:39 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:45:42 PM  1000     29330    0.00    0.33    0.00    0.33     0  java
01:45:45 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:45:48 PM  1000     29330    3.33    0.67    0.00    4.00     0  java
01:45:51 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:45:54 PM  1000     29330    0.33    0.33    0.00    0.67     0  java
01:45:57 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:46:00 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:46:03 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:46:06 PM  1000     29330    0.00    0.33    0.00    0.33     0  java
01:46:09 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:46:12 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:46:15 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:46:18 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:46:21 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:46:24 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:46:27 PM  1000     29330    0.00    0.33    0.00    0.33     0  java
01:46:30 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:46:33 PM  1000     29330    4.46    0.96    0.00    5.41     0  java
01:46:36 PM  1000     29330    0.00    0.33    0.00    0.33     0  java
01:46:39 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:46:42 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:46:45 PM  1000     29330    2.67    0.33    0.00    3.00     0  java
01:46:48 PM  1000     29330    0.33    0.33    0.00    0.67     0  java
01:46:51 PM  1000     29330    0.00    0.33    0.00    0.33     0  java
01:46:54 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:46:57 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:47:00 PM  1000     29330    0.00    0.33    0.00    0.33     0  java
01:47:03 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
