[sla] 177 1424417642179   141 134.74   
[sla] 178 1424417706464   141 134.72   
[sla] 179 1424417770983   141 134.70   
[sla] 180 1424417834763   141 134.69   
[sla] 181 1424417898450   141 134.67   
[sla] 182 1424417962215   141 134.65   
[sla] 183 1424418025843   141 134.63   
[sla] 184 1424418089595   141 134.62   
[sla] 185 1424418153656   141 134.60   
[sla] 186 1424418217596   141 134.58   
[sla] 187 1424418281802   141 134.56   
[sla] 188 1424418345797   141 134.55   
[sla] 189 1424418409400   141 134.53   
[sla] 190 1424418472924   141 134.51   
[sla] 191 1424418537509   141 134.49   
[sla] 192 1424418601433   141 134.47   
[sla] 193 1424418665030   141 134.46   
[sla] 194 1424418729414   141 134.44   
[sla] 195 1424418794054   141 134.42   
[sla] 196 1424418858117   141 134.40   
[sla] 197 1424418922695   141 134.38   
[sla] 198 1424418986722   141 134.37   
[sla] 199 1424419051203   141 134.35   
[sla] 200 1424419115391   141 134.33   
[sla] 201 1424419180759   141 134.31   
[sla] 202 1424419246006   141 134.29   
[sla] 203 1424419310107   141 134.28   
[sla] 204 1424419374511   141 134.26   
[sla] 205 1424419438385   141 134.24   
[sla] 206 1424419502991   141 134.22   
[sla] 207 1424419570256   141 134.20   
[sla] 208 1424419634462   141 134.19   
[sla] 209 1424419698879   141 134.17   
[sla] 210 1424419762420   141 134.15   
[sla] 211 1424419826078   141 134.13   
[sla] 212 1424419891022   141 134.12   
[sla] 213 1424419954549   141 134.10   
[sla] 214 1424420018336   141 134.08   
[sla] 215 1424420082451   141 134.06   
[sla] 216 1424420147322   141 134.04   
[sla] 217 1424420211131   141 134.03   
[sla] 218 1424420274864   141 134.01   
[sla] 219 1424420338851   141 133.99   
[sla] 220 1424420403588   141 133.97   
[sla] 221 1424420468073   141 133.96   
[sla] 222 1424420532231   141 133.94   
[sla] 223 1424420596795   141 133.92   
[sla] 224 1424420660941   141 133.90   
[sla] 225 1424420726317   141 133.88   
[sla] 226 1424420791358   141 133.87   
[sla] 227 1424420883254   141 133.84   
[sla] 228 1424420948791   141 133.82   
[sla] 229 1424421013458   141 133.80   
